client_id,client_name,first_name,last_name,stylist_id,territory_id,palette_id,season,tier,status,total_sessions,total_revenue_usd,total_revenue_local,cosm_purchased,days_since_last_session,session_types_used
C0001,Ava Roy,Ava,Roy,S019,T03,P3,Spring,Platinum,Active,13,3377.58,3377.58,1581.33,285,Colour
C0002,Liam Cruz,Liam,Cruz,S013,T01,P3,Autumn,Gold,Active,2,6839.85,5403.48,551.68,377,Colour
C0003,Lily Reed,Lily,Reed,S019,T03,P1,Autumn,Silver,Dormant,3,5792.72,5792.72,1328.61,352,Style
C0004,Lucas Reed,Lucas,Reed,S023,T06,P1,Winter,Bronze,Active,13,3847.27,319323.41,319.15,23,"Colour, Style, Makeup"
C0005,Ben Ali,Ben,Ali,S010,T05,P3,Spring,Gold,Active,6,4126.61,15144.66,1379.42,26,"Colour, Style, Makeup"
C0006,Adam Day,Adam,Day,S009,T04,P4,Winter,Gold,Active,3,1163.52,1768.55,793.93,256,"Colour, Style, Makeup"
C0007,Ava Day,Ava,Day,S017,T02,P1,Winter,Silver,Dormant,9,2241.74,2241.74,470.03,54,Colour
C0008,Max Fox,Max,Fox,S011,T06,P4,Summer,Silver,Active,1,5229.77,434070.91,1162.9,182,Style
C0009,Liam Vance,Liam,Vance,S009,T04,P4,Autumn,Silver,Active,3,5067.18,7702.11,1524.46,75,Style
C0010,Leo Wood,Leo,Wood,S002,T01,P3,Winter,Platinum,Active,3,1176.82,929.69,1086.5,191,"Colour, Style, Makeup"
C0011,Kira Reed,Kira,Reed,S015,T01,P3,Winter,Bronze,Active,2,6004.18,4743.3,41.46,97,Style
C0012,Ben Cole,Ben,Cole,S017,T02,P3,Autumn,Gold,Active,10,3153.36,3153.36,456.92,253,"Colour, Style"
C0013,Ava Fox,Ava,Fox,S004,T02,P2,Winter,Platinum,Dormant,14,1248.82,1248.82,1578.52,343,"Colour, Style, Makeup"
C0014,Ben Bell,Ben,Bell,S023,T06,P3,Summer,Gold,Dormant,11,712.24,59115.92,278.55,187,"Colour, Style"
