RegionID,RegionName,RegionalDirector,DirectorEmail
RG01,London North,Emma Williams,em.williams@houseofcolour.com
RG02,London South,James Chen,j.chen@houseofcolour.com
RG03,Manchester,Lisa Park,l.park@houseofcolour.com
RG04,Birmingham,Sarah Hughes,s.hughes@houseofcolour.com
RG05,Edinburgh,Fiona MacLeod,f.macleod@houseofcolour.com
RG06,Bristol,Karen Patel,k.patel@houseofcolour.com
RG07,Leeds,David Taylor,d.taylor@houseofcolour.com
RG08,Newcastle,Rachel Brown,r.brown@houseofcolour.com
RG09,Cardiff,Claire Davis,c.davis@houseofcolour.com
RG10,Glasgow,Anna Wilson,a.wilson@houseofcolour.com
