TrainingID,StylistID,StylistName,ConsultantID,RegionID,CertificationLevel,Module,TrainingDate,PassDate,ExpiryDate,Score_Pct,CertStatus,DistinctionAchieved
TRN000001,STY001,Sophie Marlowe,CON001,RG01,Level 1 — Colour,Colour Theory Fundamentals,2019-10-09,2019-10-30,2021-10-29,68.8,Expired,No
TRN000002,STY001,Sophie Marlowe,CON001,RG01,Level 1 — Colour,Seasonal Analysis Basics,2019-10-09,2019-10-30,2021-10-29,68.8,Expired,No
TRN000003,STY001,Sophie Marlowe,CON001,RG01,Level 1 — Colour,Draping Technique,2019-10-09,2019-10-30,2021-10-29,68.8,Expired,No
TRN000004,STY001,Sophie Marlowe,CON001,RG01,Level 1 — Colour,Client Communication,2019-10-09,2019-10-30,2021-10-29,68.8,Expired,No
TRN000005,STY001,Sophie Marlowe,CON001,RG01,Level 2 — Style,Body Shape Analysis,2020-03-25,2020-04-23,2022-04-23,74.9,Expired,No
TRN000006,STY001,Sophie Marlowe,CON001,RG01,Level 2 — Style,Clothing Lines & Textures,2020-03-25,2020-04-23,2022-04-23,74.9,Expired,No
TRN000007,STY001,Sophie Marlowe,CON001,RG01,Level 2 — Style,Style Archetypes,2020-03-25,2020-04-23,2022-04-23,74.9,Expired,No
TRN000008,STY001,Sophie Marlowe,CON001,RG01,Level 2 — Style,Wardrobe Building,2020-03-25,2020-04-23,2022-04-23,74.9,Expired,No
TRN000009,STY001,Sophie Marlowe,CON001,RG01,Level 3 — Full Stylist,Advanced Colour,2020-10-06,2020-10-26,2022-10-26,89.0,Expired,Yes
TRN000010,STY001,Sophie Marlowe,CON001,RG01,Level 3 — Full Stylist,Advanced Style,2020-10-06,2020-10-26,2022-10-26,89.0,Expired,Yes
TRN000011,STY001,Sophie Marlowe,CON001,RG01,Level 3 — Full Stylist,Makeup Integration,2020-10-06,2020-10-26,2022-10-26,89.0,Expired,Yes
TRN000012,STY001,Sophie Marlowe,CON001,RG01,Level 3 — Full Stylist,Business Development,2020-10-06,2020-10-26,2022-10-26,89.0,Expired,Yes
TRN000013,STY001,Sophie Marlowe,CON001,RG01,Senior Stylist,Mentoring Skills,2021-04-09,2021-05-27,2023-05-27,70.7,Expired,No
TRN000014,STY001,Sophie Marlowe,CON001,RG01,Senior Stylist,Workshop Facilitation,2021-04-09,2021-05-27,2023-05-27,70.7,Expired,No
TRN000015,STY001,Sophie Marlowe,CON001,RG01,Senior Stylist,Corporate Clients,2021-04-09,2021-05-27,2023-05-27,70.7,Expired,No
TRN000016,STY001,Sophie Marlowe,CON001,RG01,Senior Stylist,Advanced Draping,2021-04-09,2021-05-27,2023-05-27,70.7,Expired,No
TRN000017,STY002,Emma Patel,CON001,RG01,Level 1 — Colour,Colour Theory Fundamentals,2023-12-21,2024-01-06,2026-01-05,68.9,Expired,No
TRN000018,STY002,Emma Patel,CON001,RG01,Level 1 — Colour,Seasonal Analysis Basics,2023-12-21,2024-01-06,2026-01-05,68.9,Expired,No
TRN000019,STY002,Emma Patel,CON001,RG01,Level 1 — Colour,Draping Technique,2023-12-21,2024-01-06,2026-01-05,68.9,Expired,No
TRN000020,STY002,Emma Patel,CON001,RG01,Level 1 — Colour,Client Communication,2023-12-21,2024-01-06,2026-01-05,68.9,Expired,No
TRN000021,STY002,Emma Patel,CON001,RG01,Level 2 — Style,Body Shape Analysis,2024-06-11,2024-07-09,2026-07-09,83.7,Active,No
TRN000022,STY002,Emma Patel,CON001,RG01,Level 2 — Style,Clothing Lines & Textures,2024-06-11,2024-07-09,2026-07-09,83.7,Active,No
TRN000023,STY002,Emma Patel,CON001,RG01,Level 2 — Style,Style Archetypes,2024-06-11,2024-07-09,2026-07-09,83.7,Active,No
TRN000024,STY002,Emma Patel,CON001,RG01,Level 2 — Style,Wardrobe Building,2024-06-11,2024-07-09,2026-07-09,83.7,Active,No
TRN000025,STY002,Emma Patel,CON001,RG01,Level 3 — Full Stylist,Advanced Colour,2024-12-02,2025-01-20,2027-01-20,74.2,Active,No
TRN000026,STY002,Emma Patel,CON001,RG01,Level 3 — Full Stylist,Advanced Style,2024-12-02,2025-01-20,2027-01-20,74.2,Active,No
TRN000027,STY002,Emma Patel,CON001,RG01,Level 3 — Full Stylist,Makeup Integration,2024-12-02,2025-01-20,2027-01-20,74.2,Active,No
TRN000028,STY002,Emma Patel,CON001,RG01,Level 3 — Full Stylist,Business Development,2024-12-02,2025-01-20,2027-01-20,74.2,Active,No
TRN000029,STY003,Claire Hughes,CON002,RG02,Level 1 — Colour,Colour Theory Fundamentals,2021-11-14,2022-01-11,2024-01-11,84.9,Expired,No
TRN000030,STY003,Claire Hughes,CON002,RG02,Level 1 — Colour,Seasonal Analysis Basics,2021-11-14,2022-01-11,2024-01-11,84.9,Expired,No
TRN000031,STY003,Claire Hughes,CON002,RG02,Level 1 — Colour,Draping Technique,2021-11-14,2022-01-11,2024-01-11,84.9,Expired,No
TRN000032,STY003,Claire Hughes,CON002,RG02,Level 1 — Colour,Client Communication,2021-11-14,2022-01-11,2024-01-11,84.9,Expired,No
TRN000033,STY003,Claire Hughes,CON002,RG02,Level 2 — Style,Body Shape Analysis,2022-04-30,2022-06-11,2024-06-10,86.3,Expired,Yes
TRN000034,STY003,Claire Hughes,CON002,RG02,Level 2 — Style,Clothing Lines & Textures,2022-04-30,2022-06-11,2024-06-10,86.3,Expired,Yes
TRN000035,STY003,Claire Hughes,CON002,RG02,Level 2 — Style,Style Archetypes,2022-04-30,2022-06-11,2024-06-10,86.3,Expired,Yes
TRN000036,STY003,Claire Hughes,CON002,RG02,Level 2 — Style,Wardrobe Building,2022-04-30,2022-06-11,2024-06-10,86.3,Expired,Yes
TRN000037,STY003,Claire Hughes,CON002,RG02,Level 3 — Full Stylist,Advanced Colour,2022-11-14,2022-11-28,2024-11-27,91.5,Expired,Yes
TRN000038,STY003,Claire Hughes,CON002,RG02,Level 3 — Full Stylist,Advanced Style,2022-11-14,2022-11-28,2024-11-27,91.5,Expired,Yes
TRN000039,STY003,Claire Hughes,CON002,RG02,Level 3 — Full Stylist,Makeup Integration,2022-11-14,2022-11-28,2024-11-27,91.5,Expired,Yes
TRN000040,STY003,Claire Hughes,CON002,RG02,Level 3 — Full Stylist,Business Development,2022-11-14,2022-11-28,2024-11-27,91.5,Expired,Yes
TRN000041,STY003,Claire Hughes,CON002,RG02,Senior Stylist,Mentoring Skills,2023-04-23,2023-06-20,2025-06-19,81.1,Expired,No
TRN000042,STY003,Claire Hughes,CON002,RG02,Senior Stylist,Workshop Facilitation,2023-04-23,2023-06-20,2025-06-19,81.1,Expired,No
TRN000043,STY003,Claire Hughes,CON002,RG02,Senior Stylist,Corporate Clients,2023-04-23,2023-06-20,2025-06-19,81.1,Expired,No
TRN000044,STY003,Claire Hughes,CON002,RG02,Senior Stylist,Advanced Draping,2023-04-23,2023-06-20,2025-06-19,81.1,Expired,No
TRN000045,STY004,Lisa Carter,CON002,RG02,Level 1 — Colour,Colour Theory Fundamentals,2020-12-22,2021-01-14,2023-01-14,74.7,Expired,No
TRN000046,STY004,Lisa Carter,CON002,RG02,Level 1 — Colour,Seasonal Analysis Basics,2020-12-22,2021-01-14,2023-01-14,74.7,Expired,No
TRN000047,STY004,Lisa Carter,CON002,RG02,Level 1 — Colour,Draping Technique,2020-12-22,2021-01-14,2023-01-14,74.7,Expired,No
TRN000048,STY004,Lisa Carter,CON002,RG02,Level 1 — Colour,Client Communication,2020-12-22,2021-01-14,2023-01-14,74.7,Expired,No
TRN000049,STY004,Lisa Carter,CON002,RG02,Level 2 — Style,Body Shape Analysis,2021-07-06,2021-08-10,2023-08-10,71.2,Expired,No
TRN000050,STY004,Lisa Carter,CON002,RG02,Level 2 — Style,Clothing Lines & Textures,2021-07-06,2021-08-10,2023-08-10,71.2,Expired,No
TRN000051,STY004,Lisa Carter,CON002,RG02,Level 2 — Style,Style Archetypes,2021-07-06,2021-08-10,2023-08-10,71.2,Expired,No
TRN000052,STY004,Lisa Carter,CON002,RG02,Level 2 — Style,Wardrobe Building,2021-07-06,2021-08-10,2023-08-10,71.2,Expired,No
TRN000053,STY004,Lisa Carter,CON002,RG02,Level 3 — Full Stylist,Advanced Colour,2021-12-21,2022-01-10,2024-01-10,79.1,Expired,No
TRN000054,STY004,Lisa Carter,CON002,RG02,Level 3 — Full Stylist,Advanced Style,2021-12-21,2022-01-10,2024-01-10,79.1,Expired,No
TRN000055,STY004,Lisa Carter,CON002,RG02,Level 3 — Full Stylist,Makeup Integration,2021-12-21,2022-01-10,2024-01-10,79.1,Expired,No
TRN000056,STY004,Lisa Carter,CON002,RG02,Level 3 — Full Stylist,Business Development,2021-12-21,2022-01-10,2024-01-10,79.1,Expired,No
TRN000057,STY004,Lisa Carter,CON002,RG02,Senior Stylist,Mentoring Skills,2022-06-18,2022-08-09,2024-08-08,76.2,Expired,No
TRN000058,STY004,Lisa Carter,CON002,RG02,Senior Stylist,Workshop Facilitation,2022-06-18,2022-08-09,2024-08-08,76.2,Expired,No
TRN000059,STY004,Lisa Carter,CON002,RG02,Senior Stylist,Corporate Clients,2022-06-18,2022-08-09,2024-08-08,76.2,Expired,No
TRN000060,STY004,Lisa Carter,CON002,RG02,Senior Stylist,Advanced Draping,2022-06-18,2022-08-09,2024-08-08,76.2,Expired,No
TRN000061,STY004,Lisa Carter,CON002,RG02,Master Stylist,Master Practitioner,2022-12-05,2023-02-03,2025-02-02,82.2,Expired,No
TRN000062,STY004,Lisa Carter,CON002,RG02,Master Stylist,Training Others,2022-12-05,2023-02-03,2025-02-02,82.2,Expired,No
TRN000063,STY004,Lisa Carter,CON002,RG02,Master Stylist,Quality Assessment,2022-12-05,2023-02-03,2025-02-02,82.2,Expired,No
TRN000064,STY004,Lisa Carter,CON002,RG02,Master Stylist,Brand Ambassador,2022-12-05,2023-02-03,2025-02-02,82.2,Expired,No
TRN000065,STY005,Sarah Walsh,CON002,RG02,Level 1 — Colour,Colour Theory Fundamentals,2023-09-14,2023-10-22,2025-10-21,70.4,Expired,No
TRN000066,STY005,Sarah Walsh,CON002,RG02,Level 1 — Colour,Seasonal Analysis Basics,2023-09-14,2023-10-22,2025-10-21,70.4,Expired,No
TRN000067,STY005,Sarah Walsh,CON002,RG02,Level 1 — Colour,Draping Technique,2023-09-14,2023-10-22,2025-10-21,70.4,Expired,No
TRN000068,STY005,Sarah Walsh,CON002,RG02,Level 1 — Colour,Client Communication,2023-09-14,2023-10-22,2025-10-21,70.4,Expired,No
TRN000069,STY005,Sarah Walsh,CON002,RG02,Level 2 — Style,Body Shape Analysis,2024-03-18,2024-05-11,2026-05-11,87.2,Active,Yes
TRN000070,STY005,Sarah Walsh,CON002,RG02,Level 2 — Style,Clothing Lines & Textures,2024-03-18,2024-05-11,2026-05-11,87.2,Active,Yes
TRN000071,STY005,Sarah Walsh,CON002,RG02,Level 2 — Style,Style Archetypes,2024-03-18,2024-05-11,2026-05-11,87.2,Active,Yes
TRN000072,STY005,Sarah Walsh,CON002,RG02,Level 2 — Style,Wardrobe Building,2024-03-18,2024-05-11,2026-05-11,87.2,Active,Yes
TRN000073,STY005,Sarah Walsh,CON002,RG02,Level 3 — Full Stylist,Advanced Colour,2024-10-02,2024-11-08,2026-11-08,85.9,Active,Yes
TRN000074,STY005,Sarah Walsh,CON002,RG02,Level 3 — Full Stylist,Advanced Style,2024-10-02,2024-11-08,2026-11-08,85.9,Active,Yes
TRN000075,STY005,Sarah Walsh,CON002,RG02,Level 3 — Full Stylist,Makeup Integration,2024-10-02,2024-11-08,2026-11-08,85.9,Active,Yes
TRN000076,STY005,Sarah Walsh,CON002,RG02,Level 3 — Full Stylist,Business Development,2024-10-02,2024-11-08,2026-11-08,85.9,Active,Yes
TRN000077,STY006,Anna Singh,CON002,RG02,Level 1 — Colour,Colour Theory Fundamentals,2018-01-25,2018-02-12,2020-02-12,69.4,Expired,No
