BudgetID,ConsultantID,ConsultantName,RegionID,Year,AnnualConsultationBudget_GBP,AnnualRetailBudget_GBP,AnnualTotalBudget_GBP,NewClientTarget,MonthlyAvgBudget_GBP
BUD00001,CON001,Sophie Marlowe,RG01,2023,48000.0,12000.0,60000.0,116,5000.0
BUD00002,CON001,Sophie Marlowe,RG01,2024,51840.0,12960.0,64800.0,162,5400.0
BUD00003,CON001,Sophie Marlowe,RG01,2025,55680.0,13920.0,69600.0,176,5800.0
BUD00004,CON001,Sophie Marlowe,RG01,2026,59520.0,14880.0,74400.0,163,6200.0
BUD00005,CON002,Emma Patel,RG02,2023,60000.0,9600.0,69600.0,99,5800.0
BUD00006,CON002,Emma Patel,RG02,2024,64800.0,10368.0,75168.0,95,6264.0
BUD00007,CON002,Emma Patel,RG02,2025,69600.0,11136.0,80736.0,118,6728.0
BUD00008,CON002,Emma Patel,RG02,2026,74400.0,11904.0,86304.0,142,7192.0
BUD00009,CON003,Claire Hughes,RG03,2023,36000.0,9600.0,45600.0,135,3800.0
BUD00010,CON003,Claire Hughes,RG03,2024,38880.0,10368.0,49248.0,174,4104.0
BUD00011,CON003,Claire Hughes,RG03,2025,41760.0,11136.0,52896.0,119,4408.0
BUD00012,CON003,Claire Hughes,RG03,2026,44640.0,11904.0,56544.0,167,4712.0
BUD00013,CON004,Lisa Carter,RG04,2023,60000.0,9600.0,69600.0,157,5800.0
BUD00014,CON004,Lisa Carter,RG04,2024,64800.0,10368.0,75168.0,96,6264.0
BUD00015,CON004,Lisa Carter,RG04,2025,69600.0,11136.0,80736.0,125,6728.0
BUD00016,CON004,Lisa Carter,RG04,2026,74400.0,11904.0,86304.0,165,7192.0
BUD00017,CON005,Sarah Walsh,RG05,2023,60000.0,18000.0,78000.0,92,6500.0
BUD00018,CON005,Sarah Walsh,RG05,2024,64800.0,19440.0,84240.0,127,7020.0
BUD00019,CON005,Sarah Walsh,RG05,2025,69600.0,20880.0,90480.0,145,7540.0
BUD00020,CON005,Sarah Walsh,RG05,2026,74400.0,22320.0,96720.0,105,8060.0
BUD00021,CON006,Anna Singh,RG06,2023,48000.0,9600.0,57600.0,142,4800.0
BUD00022,CON006,Anna Singh,RG06,2024,51840.0,10368.0,62208.0,137,5184.0
BUD00023,CON006,Anna Singh,RG06,2025,55680.0,11136.0,66816.0,129,5568.0
BUD00024,CON006,Anna Singh,RG06,2026,59520.0,11904.0,71424.0,140,5952.0
BUD00025,CON007,Kate Okoye,RG07,2023,54000.0,14400.0,68400.0,114,5700.0
BUD00026,CON007,Kate Okoye,RG07,2024,58320.0,15552.0,73872.0,152,6156.0
BUD00027,CON007,Kate Okoye,RG07,2025,62640.0,16704.0,79344.0,156,6612.0
BUD00028,CON007,Kate Okoye,RG07,2026,66960.0,17856.0,84816.0,134,7068.0
BUD00029,CON008,Helen Chen,RG08,2023,48000.0,9600.0,57600.0,91,4800.0
BUD00030,CON008,Helen Chen,RG08,2024,51840.0,10368.0,62208.0,176,5184.0
BUD00031,CON008,Helen Chen,RG08,2025,55680.0,11136.0,66816.0,134,5568.0
BUD00032,CON008,Helen Chen,RG08,2026,59520.0,11904.0,71424.0,127,5952.0
BUD00033,CON009,Fiona Williams,RG09,2023,48000.0,14400.0,62400.0,158,5200.0
BUD00034,CON009,Fiona Williams,RG09,2024,51840.0,15552.0,67392.0,103,5616.0
BUD00035,CON009,Fiona Williams,RG09,2025,55680.0,16704.0,72384.0,135,6032.0
BUD00036,CON009,Fiona Williams,RG09,2026,59520.0,17856.0,77376.0,160,6448.0
BUD00037,CON010,Rachel Johnson,RG10,2023,54000.0,9600.0,63600.0,134,5300.0
BUD00038,CON010,Rachel Johnson,RG10,2024,58320.0,10368.0,68688.0,91,5724.0
BUD00039,CON010,Rachel Johnson,RG10,2025,62640.0,11136.0,73776.0,85,6148.0
BUD00040,CON010,Rachel Johnson,RG10,2026,66960.0,11904.0,78864.0,145,6572.0
BUD00041,CON011,James Smith,RG01,2023,36000.0,14400.0,50400.0,123,4200.0
BUD00042,CON011,James Smith,RG01,2024,38880.0,15552.0,54432.0,139,4536.0
BUD00043,CON011,James Smith,RG01,2025,41760.0,16704.0,58464.0,166,4872.0
BUD00044,CON011,James Smith,RG01,2026,44640.0,17856.0,62496.0,108,5208.0
BUD00045,CON012,David Brown,RG02,2023,48000.0,12000.0,60000.0,162,5000.0
BUD00046,CON012,David Brown,RG02,2024,51840.0,12960.0,64800.0,167,5400.0
BUD00047,CON012,David Brown,RG02,2025,55680.0,13920.0,69600.0,171,5800.0
BUD00048,CON012,David Brown,RG02,2026,59520.0,14880.0,74400.0,99,6200.0
BUD00049,CON013,Mark Taylor,RG03,2023,42000.0,14400.0,56400.0,143,4700.0
BUD00050,CON013,Mark Taylor,RG03,2024,45360.0,15552.0,60912.0,147,5076.0
BUD00051,CON013,Mark Taylor,RG03,2025,48720.0,16704.0,65424.0,160,5452.0
BUD00052,CON013,Mark Taylor,RG03,2026,52080.0,17856.0,69936.0,162,5828.0
BUD00053,CON014,Tom Davis,RG04,2023,36000.0,18000.0,54000.0,147,4500.0
BUD00054,CON014,Tom Davis,RG04,2024,38880.0,19440.0,58320.0,90,4860.0
BUD00055,CON014,Tom Davis,RG04,2025,41760.0,20880.0,62640.0,117,5220.0
BUD00056,CON014,Tom Davis,RG04,2026,44640.0,22320.0,66960.0,139,5580.0
BUD00057,CON015,Raj Miller,RG05,2023,48000.0,12000.0,60000.0,135,5000.0
BUD00058,CON015,Raj Miller,RG05,2024,51840.0,12960.0,64800.0,90,5400.0
BUD00059,CON015,Raj Miller,RG05,2025,55680.0,13920.0,69600.0,141,5800.0
BUD00060,CON015,Raj Miller,RG05,2026,59520.0,14880.0,74400.0,118,6200.0
BUD00061,CON016,Liam Wilson,RG06,2023,48000.0,9600.0,57600.0,99,4800.0
BUD00062,CON016,Liam Wilson,RG06,2024,51840.0,10368.0,62208.0,96,5184.0
BUD00063,CON016,Liam Wilson,RG06,2025,55680.0,11136.0,66816.0,167,5568.0
BUD00064,CON016,Liam Wilson,RG06,2026,59520.0,11904.0,71424.0,118,5952.0
BUD00065,CON017,Michael Moore,RG07,2023,60000.0,12000.0,72000.0,111,6000.0
BUD00066,CON017,Michael Moore,RG07,2024,64800.0,12960.0,77760.0,146,6480.0
BUD00067,CON017,Michael Moore,RG07,2025,69600.0,13920.0,83520.0,134,6960.0
BUD00068,CON017,Michael Moore,RG07,2026,74400.0,14880.0,89280.0,117,7440.0
BUD00069,CON018,Oliver Anderson,RG08,2023,48000.0,12000.0,60000.0,152,5000.0
BUD00070,CON018,Oliver Anderson,RG08,2024,51840.0,12960.0,64800.0,86,5400.0
BUD00071,CON018,Oliver Anderson,RG08,2025,55680.0,13920.0,69600.0,150,5800.0
BUD00072,CON018,Oliver Anderson,RG08,2026,59520.0,14880.0,74400.0,89,6200.0
BUD00073,CON019,Peter Thomas,RG09,2023,42000.0,9600.0,51600.0,85,4300.0
BUD00074,CON019,Peter Thomas,RG09,2024,45360.0,10368.0,55728.0,145,4644.0
BUD00075,CON019,Peter Thomas,RG09,2025,48720.0,11136.0,59856.0,93,4988.0
BUD00076,CON019,Peter Thomas,RG09,2026,52080.0,11904.0,63984.0,145,5332.0
BUD00077,CON020,Andrew Jackson,RG10,2023,48000.0,9600.0,57600.0,134,4800.0
BUD00078,CON020,Andrew Jackson,RG10,2024,51840.0,10368.0,62208.0,132,5184.0
BUD00079,CON020,Andrew Jackson,RG10,2025,55680.0,11136.0,66816.0,92,5568.0
BUD00080,CON020,Andrew Jackson,RG10,2026,59520.0,11904.0,71424.0,139,5952.0
BUD00081,CON021,Jessica White,RG01,2023,48000.0,12000.0,60000.0,164,5000.0
BUD00082,CON021,Jessica White,RG01,2024,51840.0,12960.0,64800.0,172,5400.0
BUD00083,CON021,Jessica White,RG01,2025,55680.0,13920.0,69600.0,152,5800.0
