CommID,StylistID,StylistName,ConsultantID,RegionID,Year,MonthNum,Target_GBP,ActualRevenue_GBP,Achievement_Pct,CommissionRate_Pct,CommissionEarned_GBP,Bonus_GBP,TotalPay_GBP,SessionsCompleted,AvgRevenuePerSession_GBP,BonusEarned
COM000001,STY001,Sophie Marlowe,CON001,RG01,2023,1,1760.0,1384.74,78.7,40,553.9,0,553.9,34,40.73,No
COM000002,STY001,Sophie Marlowe,CON001,RG01,2023,2,1760.0,1683.14,95.6,40,673.26,0,673.26,26,64.74,No
COM000003,STY001,Sophie Marlowe,CON001,RG01,2023,3,2000.0,2138.17,106.9,40,855.27,0,855.27,21,101.82,No
COM000004,STY001,Sophie Marlowe,CON001,RG01,2023,4,2000.0,2261.18,113.1,40,904.47,90.45,994.92,12,188.43,Yes
COM000005,STY001,Sophie Marlowe,CON001,RG01,2023,5,2000.0,1707.8,85.4,40,683.12,0,683.12,16,106.74,No
COM000006,STY001,Sophie Marlowe,CON001,RG01,2023,6,2160.0,2706.68,125.3,40,1082.67,108.27,1190.94,33,82.02,Yes
COM000007,STY001,Sophie Marlowe,CON001,RG01,2023,7,2160.0,2063.71,95.5,40,825.48,0,825.48,34,60.7,No
COM000008,STY001,Sophie Marlowe,CON001,RG01,2023,8,2160.0,2544.44,117.8,40,1017.78,101.78,1119.56,18,141.36,Yes
COM000009,STY001,Sophie Marlowe,CON001,RG01,2023,9,2000.0,1988.59,99.4,40,795.44,0,795.44,15,132.57,No
COM000010,STY001,Sophie Marlowe,CON001,RG01,2023,10,2000.0,1497.09,74.9,40,598.84,0,598.84,14,106.93,No
COM000011,STY001,Sophie Marlowe,CON001,RG01,2023,11,2300.0,1813.49,78.8,40,725.4,0,725.4,32,56.67,No
COM000012,STY001,Sophie Marlowe,CON001,RG01,2023,12,2300.0,2484.14,108.0,40,993.66,0,993.66,12,207.01,No
COM000013,STY001,Sophie Marlowe,CON001,RG01,2024,1,1760.0,1352.87,76.9,40,541.15,0,541.15,22,61.49,No
COM000014,STY001,Sophie Marlowe,CON001,RG01,2024,2,1760.0,1765.17,100.3,40,706.07,0,706.07,21,84.06,No
COM000015,STY001,Sophie Marlowe,CON001,RG01,2024,3,2000.0,1556.96,77.8,40,622.78,0,622.78,19,81.95,No
COM000016,STY001,Sophie Marlowe,CON001,RG01,2024,4,2000.0,2654.03,132.7,40,1061.61,106.16,1167.77,14,189.57,Yes
COM000017,STY001,Sophie Marlowe,CON001,RG01,2024,5,2000.0,1987.49,99.4,40,795.0,0,795.0,22,90.34,No
COM000018,STY001,Sophie Marlowe,CON001,RG01,2024,6,2160.0,1884.07,87.2,40,753.63,0,753.63,11,171.28,No
COM000019,STY001,Sophie Marlowe,CON001,RG01,2024,7,2160.0,1638.95,75.9,40,655.58,0,655.58,33,49.67,No
COM000020,STY001,Sophie Marlowe,CON001,RG01,2024,8,2160.0,2475.22,114.6,40,990.09,99.01,1089.1,34,72.8,Yes
COM000021,STY001,Sophie Marlowe,CON001,RG01,2024,9,2000.0,2316.12,115.8,40,926.45,92.65,1019.1,27,85.78,Yes
COM000022,STY001,Sophie Marlowe,CON001,RG01,2024,10,2000.0,1452.43,72.6,40,580.97,0,580.97,34,42.72,No
COM000023,STY001,Sophie Marlowe,CON001,RG01,2024,11,2300.0,2890.58,125.7,40,1156.23,115.62,1271.85,12,240.88,Yes
COM000024,STY001,Sophie Marlowe,CON001,RG01,2024,12,2300.0,1746.36,75.9,40,698.54,0,698.54,15,116.42,No
COM000025,STY001,Sophie Marlowe,CON001,RG01,2025,1,1760.0,2339.85,132.9,40,935.94,93.59,1029.53,20,116.99,Yes
COM000026,STY001,Sophie Marlowe,CON001,RG01,2025,2,1760.0,1819.4,103.4,40,727.76,0,727.76,29,62.74,No
COM000027,STY001,Sophie Marlowe,CON001,RG01,2025,3,2000.0,1788.49,89.4,40,715.4,0,715.4,34,52.6,No
COM000028,STY001,Sophie Marlowe,CON001,RG01,2025,4,2000.0,2687.88,134.4,40,1075.15,107.52,1182.67,8,335.99,Yes
COM000029,STY001,Sophie Marlowe,CON001,RG01,2025,5,2000.0,2637.73,131.9,40,1055.09,105.51,1160.6,35,75.36,Yes
COM000030,STY001,Sophie Marlowe,CON001,RG01,2025,6,2160.0,2146.89,99.4,40,858.76,0,858.76,31,69.25,No
COM000031,STY001,Sophie Marlowe,CON001,RG01,2025,7,2160.0,2284.37,105.8,40,913.75,0,913.75,11,207.67,No
COM000032,STY001,Sophie Marlowe,CON001,RG01,2025,8,2160.0,2160.71,100.0,40,864.28,0,864.28,33,65.48,No
COM000033,STY001,Sophie Marlowe,CON001,RG01,2025,9,2000.0,2431.95,121.6,40,972.78,97.28,1070.06,11,221.09,Yes
COM000034,STY001,Sophie Marlowe,CON001,RG01,2025,10,2000.0,1415.54,70.8,40,566.22,0,566.22,34,41.63,No
COM000035,STY001,Sophie Marlowe,CON001,RG01,2025,11,2300.0,2777.54,120.8,40,1111.02,111.1,1222.12,15,185.17,Yes
COM000036,STY001,Sophie Marlowe,CON001,RG01,2025,12,2300.0,1805.42,78.5,40,722.17,0,722.17,34,53.1,No
COM000037,STY001,Sophie Marlowe,CON001,RG01,2026,1,1760.0,1690.27,96.0,40,676.11,0,676.11,29,58.29,No
COM000038,STY002,Emma Patel,CON001,RG01,2023,1,2200.0,2441.33,111.0,25,610.33,61.03,671.36,28,87.19,Yes
COM000039,STY002,Emma Patel,CON001,RG01,2023,2,2200.0,1660.18,75.5,25,415.05,0,415.05,26,63.85,No
COM000040,STY002,Emma Patel,CON001,RG01,2023,3,2500.0,2170.58,86.8,25,542.64,0,542.64,34,63.84,No
COM000041,STY002,Emma Patel,CON001,RG01,2023,4,2500.0,1871.85,74.9,25,467.96,0,467.96,10,187.19,No
COM000042,STY002,Emma Patel,CON001,RG01,2023,5,2500.0,2071.34,82.9,25,517.84,0,517.84,28,73.98,No
COM000043,STY002,Emma Patel,CON001,RG01,2023,6,2700.0,2668.22,98.8,25,667.05,0,667.05,12,222.35,No
COM000044,STY002,Emma Patel,CON001,RG01,2023,7,2700.0,2051.42,76.0,25,512.86,0,512.86,35,58.61,No
COM000045,STY002,Emma Patel,CON001,RG01,2023,8,2700.0,3345.52,123.9,25,836.38,83.64,920.02,18,185.86,Yes
COM000046,STY002,Emma Patel,CON001,RG01,2023,9,2500.0,1949.11,78.0,25,487.28,0,487.28,22,88.6,No
COM000047,STY002,Emma Patel,CON001,RG01,2023,10,2500.0,1832.29,73.3,25,458.07,0,458.07,26,70.47,No
COM000048,STY002,Emma Patel,CON001,RG01,2023,11,2875.0,2821.96,98.2,25,705.49,0,705.49,31,91.03,No
COM000049,STY002,Emma Patel,CON001,RG01,2023,12,2875.0,2750.65,95.7,25,687.66,0,687.66,8,343.83,No
COM000050,STY002,Emma Patel,CON001,RG01,2024,1,2200.0,2087.3,94.9,25,521.83,0,521.83,21,99.4,No
COM000051,STY002,Emma Patel,CON001,RG01,2024,2,2200.0,1787.11,81.2,25,446.78,0,446.78,14,127.65,No
COM000052,STY002,Emma Patel,CON001,RG01,2024,3,2500.0,3225.99,129.0,25,806.5,80.65,887.15,16,201.62,Yes
COM000053,STY002,Emma Patel,CON001,RG01,2024,4,2500.0,2204.76,88.2,25,551.19,0,551.19,12,183.73,No
COM000054,STY002,Emma Patel,CON001,RG01,2024,5,2500.0,1806.31,72.3,25,451.58,0,451.58,27,66.9,No
COM000055,STY002,Emma Patel,CON001,RG01,2024,6,2700.0,2972.79,110.1,25,743.2,74.32,817.52,28,106.17,Yes
COM000056,STY002,Emma Patel,CON001,RG01,2024,7,2700.0,2407.91,89.2,25,601.98,0,601.98,21,114.66,No
COM000057,STY002,Emma Patel,CON001,RG01,2024,8,2700.0,3439.28,127.4,25,859.82,85.98,945.8,23,149.53,Yes
COM000058,STY002,Emma Patel,CON001,RG01,2024,9,2500.0,1849.09,74.0,25,462.27,0,462.27,16,115.57,No
COM000059,STY002,Emma Patel,CON001,RG01,2024,10,2500.0,2372.4,94.9,25,593.1,0,593.1,21,112.97,No
COM000060,STY002,Emma Patel,CON001,RG01,2024,11,2875.0,2385.24,83.0,25,596.31,0,596.31,33,72.28,No
COM000061,STY002,Emma Patel,CON001,RG01,2024,12,2875.0,2995.12,104.2,25,748.78,0,748.78,28,106.97,No
COM000062,STY002,Emma Patel,CON001,RG01,2025,1,2200.0,2961.54,134.6,25,740.38,74.04,814.42,25,118.46,Yes
COM000063,STY002,Emma Patel,CON001,RG01,2025,2,2200.0,2676.63,121.7,25,669.16,66.92,736.08,20,133.83,Yes
COM000064,STY002,Emma Patel,CON001,RG01,2025,3,2500.0,3020.61,120.8,25,755.15,75.52,830.67,19,158.98,Yes
COM000065,STY002,Emma Patel,CON001,RG01,2025,4,2500.0,2529.49,101.2,25,632.37,0,632.37,33,76.65,No
