FinID,ConsultantID,ConsultantName,RegionID,Year,MonthNum,ConsultationRevenue_GBP,RetailRevenue_GBP,TotalRevenue_GBP,ConsultationBudget_GBP,RetailBudget_GBP,TotalBudget_GBP,RevenueVsBudget_GBP,RevenueVsBudget_Pct,FranchiseFee_GBP,StylistCommission_GBP,MarketingCost_GBP,OperationalCost_GBP,ProductCOGS_GBP,TotalCost_GBP,GrossProfit_GBP,NetProfit_GBP,ProfitMargin_Pct
FIN000001,CON001,Sophie Marlowe,RG01,2023,1,3828.85,629.21,4458.06,3520.0,880.0,4400.0,58.06,101.3,356.64,1148.65,222.9,310.01,283.14,2321.34,4174.92,2136.72,47.9
FIN000002,CON001,Sophie Marlowe,RG01,2023,2,3169.57,1004.86,4174.43,3520.0,880.0,4400.0,-225.57,94.9,333.95,950.87,208.72,470.68,452.19,2416.41,3722.24,1758.02,42.1
FIN000003,CON001,Sophie Marlowe,RG01,2023,3,4805.92,752.16,5558.08,4000.0,1000.0,5000.0,558.08,111.2,444.65,1441.78,277.9,368.77,338.47,2871.57,5219.61,2686.51,48.3
FIN000004,CON001,Sophie Marlowe,RG01,2023,4,3253.63,831.18,4084.81,4000.0,1000.0,5000.0,-915.19,81.7,326.78,976.09,204.24,402.14,374.03,2283.28,3710.78,1801.53,44.1
FIN000005,CON001,Sophie Marlowe,RG01,2023,5,3247.76,819.3,4067.06,4000.0,1000.0,5000.0,-932.94,81.3,325.36,974.33,203.35,459.95,368.69,2331.68,3698.37,1735.38,42.7
FIN000006,CON001,Sophie Marlowe,RG01,2023,6,4515.37,898.85,5414.22,4320.0,1080.0,5400.0,14.22,100.3,433.14,1354.61,270.71,435.71,404.48,2898.65,5009.74,2515.57,46.5
FIN000007,CON001,Sophie Marlowe,RG01,2023,7,5029.53,760.21,5789.74,4320.0,1080.0,5400.0,389.74,107.2,463.18,1508.86,289.49,522.33,342.09,3125.95,5447.65,2663.79,46.0
FIN000008,CON001,Sophie Marlowe,RG01,2023,8,4813.18,976.48,5789.66,4320.0,1080.0,5400.0,389.66,107.2,463.17,1443.95,289.48,262.19,439.42,2898.21,5350.24,2891.45,49.9
FIN000009,CON001,Sophie Marlowe,RG01,2023,9,4922.98,901.96,5824.94,4000.0,1000.0,5000.0,824.94,116.5,466.0,1476.89,291.25,237.1,405.88,2877.12,5419.06,2947.82,50.6
FIN000010,CON001,Sophie Marlowe,RG01,2023,10,3374.09,1208.5,4582.59,4000.0,1000.0,5000.0,-417.41,91.7,366.61,1012.23,229.13,441.49,543.83,2593.29,4038.76,1989.3,43.4
FIN000011,CON001,Sophie Marlowe,RG01,2023,11,5350.76,1308.51,6659.27,4600.0,1150.0,5750.0,909.27,115.8,532.74,1605.23,332.96,414.49,588.83,3474.25,6070.44,3185.02,47.8
FIN000012,CON001,Sophie Marlowe,RG01,2023,12,5694.35,1066.19,6760.54,4600.0,1150.0,5750.0,1010.54,117.6,540.84,1708.31,338.03,420.82,479.79,3487.79,6280.75,3272.75,48.4
FIN000013,CON001,Sophie Marlowe,RG01,2024,1,4129.78,942.58,5072.36,3520.0,880.0,4400.0,672.36,115.3,405.79,1238.93,253.62,544.68,424.16,2867.18,4648.2,2205.18,43.5
FIN000014,CON001,Sophie Marlowe,RG01,2024,2,3730.53,988.01,4718.54,3520.0,880.0,4400.0,318.54,107.2,377.48,1119.16,235.93,218.33,444.6,2395.5,4273.94,2323.04,49.2
FIN000015,CON001,Sophie Marlowe,RG01,2024,3,3610.22,873.63,4483.85,4000.0,1000.0,5000.0,-516.15,89.7,358.71,1083.07,224.19,231.92,393.13,2291.02,4090.72,2192.83,48.9
FIN000016,CON001,Sophie Marlowe,RG01,2024,4,3619.02,760.6,4379.62,4000.0,1000.0,5000.0,-620.38,87.6,350.37,1085.71,218.98,311.19,342.27,2308.52,4037.35,2071.1,47.3
