PerfID,StylistID,StylistName,ConsultantID,RegionID,RegionName,Year,MonthNum,Target_GBP,ActualRevenue_GBP,Achievement_Pct,TotalBookings,CompletedBookings,NoShows,NewClients,Commission_Earned_GBP,Avg_NPS
SP000001,STY001,Sophie Marlowe,CON001,RG01,London North,2023,1,1760.0,1442.55,82.0,14,13,0,3,577.02,8.3
SP000002,STY001,Sophie Marlowe,CON001,RG01,London North,2023,2,1760.0,1719.31,97.7,28,22,5,8,687.73,8.2
SP000003,STY001,Sophie Marlowe,CON001,RG01,London North,2023,3,2000.0,2244.56,112.2,45,39,3,3,897.83,7.5
SP000004,STY001,Sophie Marlowe,CON001,RG01,London North,2023,4,2000.0,2117.84,105.9,33,28,5,10,847.14,8.4
SP000005,STY001,Sophie Marlowe,CON001,RG01,London North,2023,5,2000.0,2041.39,102.1,33,30,3,2,816.56,7.4
SP000006,STY001,Sophie Marlowe,CON001,RG01,London North,2023,6,2160.0,2677.09,123.9,14,12,0,8,1070.84,9.7
SP000007,STY001,Sophie Marlowe,CON001,RG01,London North,2023,7,2160.0,2333.22,108.0,40,36,1,8,933.29,8.5
SP000008,STY001,Sophie Marlowe,CON001,RG01,London North,2023,8,2160.0,1605.75,74.3,31,28,3,11,642.3,9.8
SP000009,STY001,Sophie Marlowe,CON001,RG01,London North,2023,9,2000.0,2078.94,103.9,21,19,2,12,831.57,8.2
SP000010,STY001,Sophie Marlowe,CON001,RG01,London North,2023,10,2000.0,2175.42,108.8,31,27,1,8,870.17,8.3
SP000011,STY001,Sophie Marlowe,CON001,RG01,London North,2023,11,2300.0,1847.4,80.3,28,23,5,10,738.96,8.5
SP000012,STY001,Sophie Marlowe,CON001,RG01,London North,2023,12,2300.0,1855.15,80.7,12,11,0,9,742.06,8.7
SP000013,STY001,Sophie Marlowe,CON001,RG01,London North,2024,1,1760.0,1694.51,96.3,18,16,0,10,677.8,8.4
SP000014,STY001,Sophie Marlowe,CON001,RG01,London North,2024,2,1760.0,1552.15,88.2,14,11,1,2,620.86,8.3
SP000015,STY001,Sophie Marlowe,CON001,RG01,London North,2024,3,2000.0,1747.76,87.4,28,24,2,12,699.1,8.2
SP000016,STY001,Sophie Marlowe,CON001,RG01,London North,2024,4,2000.0,2569.88,128.5,32,26,3,4,1027.95,8.7
SP000017,STY001,Sophie Marlowe,CON001,RG01,London North,2024,5,2000.0,2483.54,124.2,27,24,2,3,993.42,7.4
SP000018,STY001,Sophie Marlowe,CON001,RG01,London North,2024,6,2160.0,2302.78,106.6,27,24,2,7,921.11,8.8
SP000019,STY001,Sophie Marlowe,CON001,RG01,London North,2024,7,2160.0,1911.42,88.5,17,15,0,8,764.57,8.6
SP000020,STY001,Sophie Marlowe,CON001,RG01,London North,2024,8,2160.0,1923.56,89.1,22,18,1,3,769.43,7.6
SP000021,STY001,Sophie Marlowe,CON001,RG01,London North,2024,9,2000.0,1490.27,74.5,26,22,1,9,596.11,8.0
SP000022,STY001,Sophie Marlowe,CON001,RG01,London North,2024,10,2000.0,2561.12,128.1,44,41,2,3,1024.45,8.6
SP000023,STY001,Sophie Marlowe,CON001,RG01,London North,2024,11,2300.0,2015.54,87.6,42,34,6,2,806.22,9.4
SP000024,STY001,Sophie Marlowe,CON001,RG01,London North,2024,12,2300.0,1631.64,70.9,19,17,0,3,652.65,7.2
SP000025,STY001,Sophie Marlowe,CON001,RG01,London North,2025,1,1760.0,1613.99,91.7,44,38,5,6,645.59,7.4
SP000026,STY001,Sophie Marlowe,CON001,RG01,London North,2025,2,1760.0,1988.81,113.0,39,36,2,6,795.52,9.0
SP000027,STY001,Sophie Marlowe,CON001,RG01,London North,2025,3,2000.0,2544.98,127.2,19,16,2,12,1017.99,8.7
SP000028,STY001,Sophie Marlowe,CON001,RG01,London North,2025,4,2000.0,1944.83,97.2,14,13,1,5,777.93,8.7
SP000029,STY001,Sophie Marlowe,CON001,RG01,London North,2025,5,2000.0,2150.53,107.5,13,11,2,12,860.21,9.3
SP000030,STY001,Sophie Marlowe,CON001,RG01,London North,2025,6,2160.0,2134.36,98.8,36,31,3,10,853.74,9.0
SP000031,STY001,Sophie Marlowe,CON001,RG01,London North,2025,7,2160.0,2505.36,116.0,19,17,1,7,1002.15,9.7
SP000032,STY001,Sophie Marlowe,CON001,RG01,London North,2025,8,2160.0,2414.49,111.8,25,21,2,5,965.8,8.3
SP000033,STY001,Sophie Marlowe,CON001,RG01,London North,2025,9,2000.0,1572.4,78.6,28,26,0,8,628.96,8.8
SP000034,STY001,Sophie Marlowe,CON001,RG01,London North,2025,10,2000.0,1870.3,93.5,38,31,4,4,748.12,7.9
SP000035,STY001,Sophie Marlowe,CON001,RG01,London North,2025,11,2300.0,2925.78,127.2,17,15,0,9,1170.31,7.8
SP000036,STY001,Sophie Marlowe,CON001,RG01,London North,2025,12,2300.0,2849.96,123.9,12,10,1,4,1139.98,8.6
SP000037,STY001,Sophie Marlowe,CON001,RG01,London North,2026,1,1760.0,1290.87,73.3,40,34,5,6,516.35,7.3
SP000038,STY002,Emma Patel,CON001,RG01,London North,2023,1,2200.0,2703.8,122.9,13,11,2,3,675.95,9.1
SP000039,STY002,Emma Patel,CON001,RG01,London North,2023,2,2200.0,2732.38,124.2,12,10,2,10,683.1,8.8
SP000040,STY002,Emma Patel,CON001,RG01,London North,2023,3,2500.0,2049.07,82.0,24,19,4,11,512.27,8.0
SP000041,STY002,Emma Patel,CON001,RG01,London North,2023,4,2500.0,1864.06,74.6,41,38,3,6,466.01,8.6
SP000042,STY002,Emma Patel,CON001,RG01,London North,2023,5,2500.0,1862.72,74.5,21,17,4,8,465.68,7.2
SP000043,STY002,Emma Patel,CON001,RG01,London North,2023,6,2700.0,2784.58,103.1,13,10,1,3,696.14,9.1
SP000044,STY002,Emma Patel,CON001,RG01,London North,2023,7,2700.0,2049.29,75.9,19,17,2,9,512.32,9.5
SP000045,STY002,Emma Patel,CON001,RG01,London North,2023,8,2700.0,2665.08,98.7,12,10,2,3,666.27,9.8
SP000046,STY002,Emma Patel,CON001,RG01,London North,2023,9,2500.0,1890.17,75.6,15,13,2,5,472.54,7.6
SP000047,STY002,Emma Patel,CON001,RG01,London North,2023,10,2500.0,2761.92,110.5,33,31,2,3,690.48,9.2
SP000048,STY002,Emma Patel,CON001,RG01,London North,2023,11,2875.0,3205.28,111.5,27,24,1,2,801.32,7.3
SP000049,STY002,Emma Patel,CON001,RG01,London North,2023,12,2875.0,3523.7,122.6,12,10,1,7,880.92,7.6
SP000050,STY002,Emma Patel,CON001,RG01,London North,2024,1,2200.0,2062.29,93.7,37,33,3,3,515.57,9.1
SP000051,STY002,Emma Patel,CON001,RG01,London North,2024,2,2200.0,1554.64,70.7,25,21,3,8,388.66,9.3
SP000052,STY002,Emma Patel,CON001,RG01,London North,2024,3,2500.0,3103.53,124.1,36,32,1,10,775.88,9.7
SP000053,STY002,Emma Patel,CON001,RG01,London North,2024,4,2500.0,2501.33,100.1,32,29,1,7,625.33,7.4
SP000054,STY002,Emma Patel,CON001,RG01,London North,2024,5,2500.0,2466.08,98.6,28,25,1,4,616.52,7.5
SP000055,STY002,Emma Patel,CON001,RG01,London North,2024,6,2700.0,2895.37,107.2,31,26,5,6,723.84,8.0
SP000056,STY002,Emma Patel,CON001,RG01,London North,2024,7,2700.0,2021.16,74.9,38,31,7,8,505.29,9.0
SP000057,STY002,Emma Patel,CON001,RG01,London North,2024,8,2700.0,2154.39,79.8,14,12,1,6,538.6,9.1
SP000058,STY002,Emma Patel,CON001,RG01,London North,2024,9,2500.0,2457.96,98.3,36,33,0,7,614.49,7.5
SP000059,STY002,Emma Patel,CON001,RG01,London North,2024,10,2500.0,2757.93,110.3,34,29,3,6,689.48,8.1
SP000060,STY002,Emma Patel,CON001,RG01,London North,2024,11,2875.0,2296.46,79.9,18,15,1,5,574.11,7.7
SP000061,STY002,Emma Patel,CON001,RG01,London North,2024,12,2875.0,3140.44,109.2,22,18,4,6,785.11,8.8
SP000062,STY002,Emma Patel,CON001,RG01,London North,2025,1,2200.0,1840.51,83.7,40,33,7,12,460.13,8.3
SP000063,STY002,Emma Patel,CON001,RG01,London North,2025,2,2200.0,2443.61,111.1,19,17,0,10,610.9,7.9
SP000064,STY002,Emma Patel,CON001,RG01,London North,2025,3,2500.0,2426.38,97.1,35,28,5,10,606.6,9.2
SP000065,STY002,Emma Patel,CON001,RG01,London North,2025,4,2500.0,2703.52,108.1,33,26,6,11,675.88,8.3
SP000066,STY002,Emma Patel,CON001,RG01,London North,2025,5,2500.0,2163.35,86.5,23,18,4,7,540.84,7.6
SP000067,STY002,Emma Patel,CON001,RG01,London North,2025,6,2700.0,2970.89,110.0,23,19,1,9,742.72,7.5
SP000068,STY002,Emma Patel,CON001,RG01,London North,2025,7,2700.0,2024.09,75.0,45,36,8,7,506.02,9.3
SP000069,STY002,Emma Patel,CON001,RG01,London North,2025,8,2700.0,2859.3,105.9,43,36,6,8,714.83,9.7
SP000070,STY002,Emma Patel,CON001,RG01,London North,2025,9,2500.0,2434.37,97.4,40,33,4,8,608.59,8.5
SP000071,STY002,Emma Patel,CON001,RG01,London North,2025,10,2500.0,3007.1,120.3,30,26,4,12,751.77,9.4
SP000072,STY002,Emma Patel,CON001,RG01,London North,2025,11,2875.0,2224.3,77.4,45,41,4,12,556.08,8.3
SP000073,STY002,Emma Patel,CON001,RG01,London North,2025,12,2875.0,2803.02,97.5,41,35,3,2,700.75,8.4
SP000074,STY002,Emma Patel,CON001,RG01,London North,2026,1,2200.0,2415.83,109.8,22,20,0,8,603.96,7.9
SP000075,STY003,Claire Hughes,CON002,RG02,London South,2023,1,1320.0,1370.41,103.8,39,33,6,12,479.64,7.2
SP000076,STY003,Claire Hughes,CON002,RG02,London South,2023,2,1320.0,1656.77,125.5,21,17,2,6,579.87,9.3
SP000077,STY003,Claire Hughes,CON002,RG02,London South,2023,3,1500.0,1212.31,80.8,14,12,1,10,424.31,7.7
SP000078,STY003,Claire Hughes,CON002,RG02,London South,2023,4,1500.0,1426.56,95.1,34,28,6,5,499.3,7.9
SP000079,STY003,Claire Hughes,CON002,RG02,London South,2023,5,1500.0,1547.2,103.1,45,37,7,11,541.52,9.8
SP000080,STY003,Claire Hughes,CON002,RG02,London South,2023,6,1620.0,2082.84,128.6,45,38,6,12,728.99,8.1
SP000081,STY003,Claire Hughes,CON002,RG02,London South,2023,7,1620.0,2054.92,126.8,16,13,3,3,719.22,9.0
SP000082,STY003,Claire Hughes,CON002,RG02,London South,2023,8,1620.0,2033.5,125.5,42,34,8,11,711.72,8.9
SP000083,STY003,Claire Hughes,CON002,RG02,London South,2023,9,1500.0,1589.98,106.0,18,14,4,9,556.49,7.9
SP000084,STY003,Claire Hughes,CON002,RG02,London South,2023,10,1500.0,1129.94,75.3,35,28,6,7,395.48,8.8
SP000085,STY003,Claire Hughes,CON002,RG02,London South,2023,11,1725.0,1491.06,86.4,27,23,4,3,521.87,8.3
SP000086,STY003,Claire Hughes,CON002,RG02,London South,2023,12,1725.0,1830.49,106.1,21,17,3,10,640.67,8.5
SP000087,STY003,Claire Hughes,CON002,RG02,London South,2024,1,1320.0,1464.76,111.0,43,35,5,5,512.67,8.0
SP000088,STY003,Claire Hughes,CON002,RG02,London South,2024,2,1320.0,998.9,75.7,16,15,0,2,349.62,8.8
SP000089,STY003,Claire Hughes,CON002,RG02,London South,2024,3,1500.0,1708.26,113.9,40,32,6,6,597.89,7.6
SP000090,STY003,Claire Hughes,CON002,RG02,London South,2024,4,1500.0,1819.64,121.3,13,12,1,3,636.88,8.4
SP000091,STY003,Claire Hughes,CON002,RG02,London South,2024,5,1500.0,1550.15,103.3,13,11,0,9,542.55,7.2
SP000092,STY003,Claire Hughes,CON002,RG02,London South,2024,6,1620.0,1945.6,120.1,27,24,2,5,680.96,7.4
SP000093,STY003,Claire Hughes,CON002,RG02,London South,2024,7,1620.0,2015.59,124.4,23,18,4,4,705.46,9.3
SP000094,STY003,Claire Hughes,CON002,RG02,London South,2024,8,1620.0,1979.24,122.2,40,35,3,7,692.74,7.2
SP000095,STY003,Claire Hughes,CON002,RG02,London South,2024,9,1500.0,1384.45,92.3,41,33,7,10,484.56,7.9
SP000096,STY003,Claire Hughes,CON002,RG02,London South,2024,10,1500.0,1807.02,120.5,24,19,2,3,632.46,9.3
SP000097,STY003,Claire Hughes,CON002,RG02,London South,2024,11,1725.0,2028.59,117.6,13,11,1,2,710.01,9.3
SP000098,STY003,Claire Hughes,CON002,RG02,London South,2024,12,1725.0,2076.98,120.4,43,39,4,7,726.94,9.6
SP000099,STY003,Claire Hughes,CON002,RG02,London South,2025,1,1320.0,1118.94,84.8,24,21,1,4,391.63,9.7
SP000100,STY003,Claire Hughes,CON002,RG02,London South,2025,2,1320.0,1459.48,110.6,37,34,1,10,510.82,9.3
SP000101,STY003,Claire Hughes,CON002,RG02,London South,2025,3,1500.0,1063.26,70.9,22,19,0,8,372.14,8.6
SP000102,STY003,Claire Hughes,CON002,RG02,London South,2025,4,1500.0,1380.56,92.0,24,20,3,10,483.19,8.3
SP000103,STY003,Claire Hughes,CON002,RG02,London South,2025,5,1500.0,1517.48,101.2,16,13,0,11,531.12,7.5
SP000104,STY003,Claire Hughes,CON002,RG02,London South,2025,6,1620.0,1143.12,70.6,30,28,2,9,400.09,8.6
SP000105,STY003,Claire Hughes,CON002,RG02,London South,2025,7,1620.0,2026.73,125.1,28,24,1,9,709.36,8.6
SP000106,STY003,Claire Hughes,CON002,RG02,London South,2025,8,1620.0,1944.55,120.0,14,11,3,12,680.59,7.5
SP000107,STY003,Claire Hughes,CON002,RG02,London South,2025,9,1500.0,1904.39,127.0,28,25,3,2,666.54,7.8
SP000108,STY003,Claire Hughes,CON002,RG02,London South,2025,10,1500.0,1751.31,116.8,41,38,3,5,612.96,8.9
SP000109,STY003,Claire Hughes,CON002,RG02,London South,2025,11,1725.0,1580.6,91.6,14,11,1,7,553.21,7.7
SP000110,STY003,Claire Hughes,CON002,RG02,London South,2025,12,1725.0,1724.33,100.0,38,32,6,2,603.52,8.0
SP000111,STY003,Claire Hughes,CON002,RG02,London South,2026,1,1320.0,1337.09,101.3,14,11,2,9,467.98,8.8
SP000112,STY004,Lisa Carter,CON002,RG02,London South,2023,1,3080.0,3390.39,110.1,34,29,4,12,1017.12,8.4
SP000113,STY004,Lisa Carter,CON002,RG02,London South,2023,2,3080.0,2462.56,80.0,27,23,3,2,738.77,9.5
SP000114,STY004,Lisa Carter,CON002,RG02,London South,2023,3,3500.0,3948.15,112.8,41,36,2,10,1184.44,7.8
SP000115,STY004,Lisa Carter,CON002,RG02,London South,2023,4,3500.0,3496.04,99.9,44,36,7,5,1048.81,9.3
SP000116,STY004,Lisa Carter,CON002,RG02,London South,2023,5,3500.0,3111.41,88.9,25,20,2,5,933.42,9.0
SP000117,STY004,Lisa Carter,CON002,RG02,London South,2023,6,3780.0,2825.86,74.8,23,18,4,10,847.76,8.0
SP000118,STY004,Lisa Carter,CON002,RG02,London South,2023,7,3780.0,4386.43,116.0,16,13,2,6,1315.93,8.3
SP000119,STY004,Lisa Carter,CON002,RG02,London South,2023,8,3780.0,2869.26,75.9,23,18,4,3,860.78,9.5
SP000120,STY004,Lisa Carter,CON002,RG02,London South,2023,9,3500.0,3830.19,109.4,20,17,0,12,1149.06,7.6
SP000121,STY004,Lisa Carter,CON002,RG02,London South,2023,10,3500.0,3638.41,104.0,15,13,0,4,1091.52,8.1
SP000122,STY004,Lisa Carter,CON002,RG02,London South,2023,11,4025.0,4316.08,107.2,34,28,6,4,1294.82,7.3
