TargetID,ConsultantID,ConsultantName,RegionID,Year,MonthNum,ConsultationTarget_GBP,RetailTarget_GBP,TotalTarget_GBP,NewClientTarget_GBP
CON001_2023_01,CON001,Sophie Marlowe,RG01,2023,1,3520,880,4400,880
CON001_2023_02,CON001,Sophie Marlowe,RG01,2023,2,3520,880,4400,880
CON001_2023_03,CON001,Sophie Marlowe,RG01,2023,3,4000,1000,5000,1000
CON001_2023_04,CON001,Sophie Marlowe,RG01,2023,4,4000,1000,5000,1000
CON001_2023_05,CON001,Sophie Marlowe,RG01,2023,5,4000,1000,5000,1000
CON001_2023_06,CON001,Sophie Marlowe,RG01,2023,6,4320,1080,5400,1080
CON001_2023_07,CON001,Sophie Marlowe,RG01,2023,7,4320,1080,5400,1080
CON001_2023_08,CON001,Sophie Marlowe,RG01,2023,8,4320,1080,5400,1080
CON001_2023_09,CON001,Sophie Marlowe,RG01,2023,9,4000,1000,5000,1000
CON001_2023_10,CON001,Sophie Marlowe,RG01,2023,10,4000,1000,5000,1000
CON001_2023_11,CON001,Sophie Marlowe,RG01,2023,11,4600,1150,5750,1150
CON001_2023_12,CON001,Sophie Marlowe,RG01,2023,12,4600,1150,5750,1150
CON001_2024_01,CON001,Sophie Marlowe,RG01,2024,1,3520,880,4400,880
CON001_2024_02,CON001,Sophie Marlowe,RG01,2024,2,3520,880,4400,880
CON001_2024_03,CON001,Sophie Marlowe,RG01,2024,3,4000,1000,5000,1000
CON001_2024_04,CON001,Sophie Marlowe,RG01,2024,4,4000,1000,5000,1000
CON001_2024_05,CON001,Sophie Marlowe,RG01,2024,5,4000,1000,5000,1000
CON001_2024_06,CON001,Sophie Marlowe,RG01,2024,6,4320,1080,5400,1080
CON001_2024_07,CON001,Sophie Marlowe,RG01,2024,7,4320,1080,5400,1080
CON001_2024_08,CON001,Sophie Marlowe,RG01,2024,8,4320,1080,5400,1080
CON001_2024_09,CON001,Sophie Marlowe,RG01,2024,9,4000,1000,5000,1000
CON001_2024_10,CON001,Sophie Marlowe,RG01,2024,10,4000,1000,5000,1000
CON001_2024_11,CON001,Sophie Marlowe,RG01,2024,11,4600,1150,5750,1150
CON001_2024_12,CON001,Sophie Marlowe,RG01,2024,12,4600,1150,5750,1150
CON001_2025_01,CON001,Sophie Marlowe,RG01,2025,1,3520,880,4400,880
